Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
KEGG_2021_Human,Ras signaling pathway,7/232,0.0018687035491637,0.13361230376521,0,0,4.26961926961927,26.823927370505466,GRIN2A;IGF2;VEGFB;TGFA;PAK6;RASAL1;FGFR2,C3
KEGG_2021_Human,Maturity onset diabetes of the young,2/26,0.0161404226851223,0.6770313190897277,0,0,11.163288288288287,46.06451014067542,PDX1;MNX1,C3
KEGG_2021_Human,Rap1 signaling pathway,5/210,0.0211788951503074,0.6770313190897277,0,0,3.304457527333894,12.737858000237244,GRIN2A;VEGFB;LPAR2;FGFR2;MAPK13,C3
KEGG_2021_Human,MAPK signaling pathway,6/294,0.023672423744396,0.6770313190897277,0,0,2.830150462962963,10.594511081126903,IGF2;VEGFB;TGFA;CACNA1H;FGFR2;MAPK13,C3
KEGG_2021_Human,Prostate cancer,3/97,0.0365652976004563,0.7700282011450619,0,0,4.289188015631785,14.191446124727449,SPINT1;TGFA;FGFR2,C3
KEGG_2021_Human,Hepatocellular carcinoma,4/168,0.0378990646832363,0.7700282011450619,0,0,3.2886735716672235,10.763265729578093,SMARCD3;FZD9;IGF2;TGFA,C3
KEGG_2021_Human,Hedgehog signaling pathway,2/56,0.0661600669645183,0.7700282011450619,0,0,4.953953953953954,13.45334483635,EVC2;EVC,C3
KEGG_2021_Human,Butanoate metabolism,6/28,5.2916951368864886e-08,5.080027331411029e-06,0,0,37.55303030303031,629.183827482247,ACSM3;EHHADH;ACSM2A;ABAT;ACSM5;ACSM2B,C4
KEGG_2021_Human,ABC transporters,5/45,2.1291881485408897e-05,0.0010220103112996,0,0,17.07758620689655,183.7067492084707,ABCG8;ABCA6;ABCB4;ABCC9;ABCB11,C4
KEGG_2021_Human,Cholesterol metabolism,4/50,0.0005353827589376326,0.0171322482860042,0,0,11.795116140559855,88.84705001828203,ABCG8;APOH;ABCB11;CYP7A1,C4
KEGG_2021_Human,Lysine degradation,4/63,0.0012843004059448,0.0277834750872639,0,0,9.190155560715114,61.18383872903726,AADAT;EHHADH;PIPOX;AASS,C4
KEGG_2021_Human,beta-Alanine metabolism,3/30,0.0014470559941283,0.0277834750872639,0,0,14.983371126228269,97.96463872684824,ALDH6A1;EHHADH;ABAT,C4
KEGG_2021_Human,Propanoate metabolism,3/34,0.0020866045795758,0.0319280655476684,0,0,13.047399605003292,80.53138343760774,ALDH6A1;EHHADH;ABAT,C4
KEGG_2021_Human,PPAR signaling pathway,4/74,0.0023280881128508,0.0319280655476684,0,0,7.741682974559687,46.9355625343182,ACADL;EHHADH;CYP7A1;CYP8B1,C4
KEGG_2021_Human,"Glycine, serine and threonine metabolism",3/40,0.0033339886202542,0.0400078634430514,0,0,10.928295642581356,62.330473024396646,BHMT;DAO;PIPOX,C4
